simulation_id,weight_opportunity,weight_infrastructure,weight_competitive_headroom,weight_data_confidence,minimum_opportunity,minimum_infrastructure,objective_value,portfolio_iso3
62,0.3511213862459637,0.2766331311609501,0.2671155498453917,0.10512993274769454,277.5561128711754,251.29837143985273,376.761994765165,BRA|CHN|IND|MEX|USA
63,0.26962120066472534,0.3794145687770046,0.2336611930726654,0.11730303748560467,280.2329000560229,236.88279551097492,369.90122685084447,BRA|CHN|IND|MEX|USA
64,0.2993630595500754,0.29066137242722523,0.27450188741187576,0.1354736806108236,321.59290793289006,257.0459958813229,371.88888606291545,BRA|CHN|IND|MEX|USA
65,0.3534936643043792,0.22858630643443947,0.32232998510507593,0.09559004415610542,305.18849242081035,228.0816496721907,375.2169770516092,BRA|CHN|IND|RUS|USA
66,0.31387992247154656,0.32848693625280895,0.1967859344063578,0.1608472068692866,309.9684606171172,272.08338229606335,377.66134899805553,BRA|CHN|IND|MEX|USA
67,0.3034981979466528,0.3127148774892699,0.18820643099757087,0.19558049356650647,314.517110872162,246.43939660790372,378.05429883248416,BRA|CHN|IND|MEX|USA
68,0.3014449576851551,0.3308904110358044,0.15908274020528393,0.2085818910737565,300.3620403360448,232.7751829709122,379.52945603457204,BRA|CHN|IND|MEX|USA
69,0.3407876675078154,0.27907002696775146,0.23897004144162118,0.1411722640828119,313.7921249237393,250.13298033789388,378.0573861515993,BRA|CHN|IND|MEX|USA
70,0.2660390055486987,0.4297812477672076,0.16405818783918916,0.14012155884490463,326.74636971374986,242.17196730757414,373.30023795131024,BRA|CHN|IND|MEX|USA
71,0.2871584306759439,0.32768134492586043,0.25000493326485557,0.13515529113333993,285.2593773092098,263.83213869330706,371.6432329791495,BRA|CHN|IND|MEX|USA
