nct_id,sponsor_role,sponsor_name,sponsor_class
NCT04885634,COLLABORATOR,Esbjerg Hospital - University Hospital of Southern Denmark,OTHER
NCT00067145,LEAD,National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK),NIH
NCT03435458,LEAD,"University Hospital, Toulouse",OTHER
NCT02768818,LEAD,University of Modena and Reggio Emilia,OTHER
NCT00944138,LEAD,Edward Hines Jr. VA Hospital,FED
NCT03290846,LEAD,Turku University Hospital,OTHER_GOV
NCT03290846,COLLABORATOR,Technical University of Munich,OTHER
NCT01758146,LEAD,"Post Graduate Institute of Medical Education and Research, Chandigarh",OTHER
NCT05132088,LEAD,Novo Nordisk A/S,INDUSTRY
NCT04683237,LEAD,Xiaojun Chen,OTHER
NCT04683237,COLLABORATOR,Huashan Hospital,OTHER
NCT02397499,LEAD,"Neothetics, Inc",INDUSTRY
NCT01060592,LEAD,Crospon,INDUSTRY
NCT00231530,LEAD,"Johnson & Johnson Pharmaceutical Research & Development, L.L.C.",INDUSTRY
NCT00444392,LEAD,Vanderbilt University,OTHER
NCT05309395,LEAD,Kaiser Permanente,OTHER
NCT05309395,COLLABORATOR,Children's Hospital Los Angeles,OTHER
NCT05309395,COLLABORATOR,National Institute on Minority Health and Health Disparities (NIMHD),NIH
NCT04645719,LEAD,University of Sao Paulo General Hospital,OTHER
NCT01108328,LEAD,Canadian Center for Functional Medicine,OTHER
NCT01108328,COLLABORATOR,University of British Columbia,OTHER
NCT01108328,COLLABORATOR,InovoBiologic Inc.,INDUSTRY
NCT03045341,LEAD,Yale University,OTHER
NCT03045341,COLLABORATOR,National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK),NIH
NCT00552942,LEAD,Legacy Health System,OTHER
NCT00808431,LEAD,Vanderbilt University,OTHER
NCT02626741,LEAD,Mahidol University,OTHER
NCT01557166,LEAD,Novo Nordisk A/S,INDUSTRY
NCT05646706,LEAD,Novo Nordisk A/S,INDUSTRY
NCT01598233,LEAD,Universidade Federal do Rio de Janeiro,OTHER
NCT07387094,LEAD,"Hangzhou Sciwind Biosciences Co., Ltd.",INDUSTRY
NCT00580502,LEAD,NYU Langone Health,OTHER
NCT00580502,COLLABORATOR,Allergan,INDUSTRY
NCT01681069,LEAD,InQpharm Group,INDUSTRY
